;Score;Kills;Deaths;K/D;Damage;Headshots;Dominations;Shots Fired;Shots Hit;Shots Accuracy;Snipers Killed;Domination Overkills;Domination Revenges;Bombs Planted;Bombs Defused;Money Earned;Hostages Rescued;MVP;Wins;Ties;Matches Played;Losses;Rounds Played;Rounds Won;Win %;Headshot %
44;30200048.0;77365.0;64527.0;1.2;10822423.0;26022.0;857.0;874023.0;180139.0;20.6;5760.0;1421.0;161.0;2775.0;845.0;159982034.0;525.0;9090.0;1402.0;109.0;2853.0;1451.0;48097.0;1402.0;49.1;33.6
45;193648.0;57624.0;50333.0;1.14;7984716.0;27488.0;1062.0;857896.0;205468.0;24.0;3834.0;964.0;414.0;1668.0;727.0;114999500.0;5002.0;54490.0;1026.0;100.0;2951.0;1925.0;35233.0;1026.0;34.8;47.7
46;51955.0;1076945.0;57714.0;18.66;5180887.0;10791.0;27.0;203221.0;65842.0;32.4;9406.0;118.0;3.0;468.0;264.0;97735501.0;504.0;5023.0;1384.0;99.0;1786.0;402.0;36303.0;1384.0;77.5;1.0
47;477761.0;120159.0;109824.0;1.09;13987440.0;13235.0;1114.0;853583.0;145306.0;17.0;4096.0;931.0;452.0;1846.0;442.0;83247400.0;101.0;3466.0;900.0;98.0;2518.0;1618.0;32481.0;900.0;35.7;11.0
48;61424.0;221036.0;188325.0;1.17;3972279.0;7805.0;81.0;1786364.0;169732.0;9.5;6660.0;167.0;15.0;4153.0;5864.0;82300859.0;3.0;1239.0;634.0;74.0;1461.0;827.0;211318.0;634.0;43.4;3.5
49;55746.0;193779.0;117662.0;1.65;8985920.0;60681.0;460.0;3916472.0;620853.0;15.9;5598.0;253.0;24.0;3401.0;443.0;1908296300.0;510.0;9955.0;626.0;69.0;1049.0;423.0;18623.0;626.0;59.7;31.3
50;3113.0;22036.0;9383.0;2.35;1015121.0;312.0;15.0;7488.0;1391.0;18.6;34.0;103.0;27.0;543.0;445.0;50077750.0;500.0;40.0;984.0;56.0;1670.0;686.0;565.0;984.0;58.9;1.4
51;28893.0;16693.0;10861.0;1.54;1896436.0;5329.0;42.0;222304.0;37360.0;16.8;707.0;117.0;37.0;811.0;271.0;72868400.0;500.0;1457.0;345.0;54.0;637.0;292.0;10776.0;345.0;54.2;31.9
52;487727.0;1175670.0;947732.0;1.24;22315094.0;687681.0;852.0;4205865.0;1091146.0;25.9;6331.0;746.0;540.0;2774.0;920.0;239407276.0;33.0;10708.0;2146.0;52.0;4162.0;2016.0;83124.0;2146.0;51.6;58.5
53;83023.0;36261.0;31304.0;1.16;4605739.0;9190.0;112.0;501729.0;135654.0;27.0;2590.0;92.0;64.0;640.0;277.0;81828950.0;38.0;3977.0;1300.0;50.0;2612.0;1312.0;29265.0;1300.0;49.8;25.3
54;110654.0;44601.0;46117.0;0.97;6188641.0;16214.0;148.0;782933.0;180081.0;23.0;2291.0;169.0;40.0;755.0;224.0;91161198.0;520.0;2811.0;1566.0;46.0;2695.0;1129.0;24068.0;1566.0;58.1;36.4
55;370708.0;240086.0;182279.0;1.32;19927790.0;52128.0;2980.0;2014998.0;420717.0;20.9;8056.0;2629.0;959.0;7273.0;2684.0;326203518.0;5226.0;13500.0;4843.0;45.0;8363.0;3520.0;184987.0;4843.0;57.9;21.7
56;251191.0;151544.0;102601.0;1.48;19329065.0;83899.0;131.0;1604432.0;391535.0;24.4;8631.0;154.0;80.0;1729.0;2485.0;58937643.0;782.0;5592.0;2446.0;43.0;4510.0;2064.0;44373.0;2446.0;54.2;55.4
57;313131.0;879031.0;704052.0;1.25;108872345.0;591556.0;339.0;13685850.0;2659728.0;19.4;5351.0;450.0;57.0;11402.0;2265.0;715027990.0;15.0;29060.0;4833.0;43.0;11755.0;6922.0;245236.0;4833.0;41.1;67.3
58;318656.0;40939.0;25109.0;1.63;6633156.0;17199.0;844.0;708873.0;444940.0;62.8;4034.0;2679.0;160.0;2261.0;602.0;80411860.0;551.0;3304.0;3471.0;41.0;5597.0;2126.0;25146.0;3471.0;62.0;42.0
59;32091.0;61702.0;9246.0;6.67;1767964.0;24943.0;703.0;250090.0;194395.0;77.7;997.0;703.0;330.0;742.0;164.0;28750287.0;32.0;1201.0;570.0;32.0;818.0;248.0;10436.0;570.0;69.7;40.4
60;45952.0;110754.0;38353.0;2.89;4172325.0;15253.0;136.0;905969.0;142155.0;15.7;3581.0;97.0;74.0;1998.0;519.0;139350950.0;79.0;6878.0;998.0;32.0;26968.0;25970.0;41685.0;998.0;3.7;13.8
61;75855.0;34714.0;25244.0;1.38;4364912.0;13964.0;223.0;526172.0;123983.0;23.6;1882.0;253.0;81.0;2226.0;396.0;108297100.0;607.0;5529.0;4526.0;31.0;6443.0;1917.0;45625.0;4526.0;70.2;40.2
62;768517.0;404119.0;359031.0;1.13;58053264.0;229224.0;901.0;8269562.0;1322380.0;16.0;16233.0;965.0;542.0;8568.0;3099.0;481880646.0;29.0;27302.0;3932.0;25.0;8949.0;5017.0;193969.0;3932.0;43.9;56.7
63;678887.0;344782.0;138612.0;2.49;53025015.0;193954.0;615.0;3001943.0;624527.0;20.8;13705.0;1257.0;272.0;1178.0;731.0;991315445.0;3503.0;23049.0;1935.0;20.0;3282.0;1347.0;141900.0;1935.0;59.0;56.3
64;358714.0;1168971.0;129964.0;8.99;31176842.0;28830.0;283.0;421602.0;128669.0;30.5;2654.0;277.0;143.0;1134.0;360.0;78466150.0;1.0;3959.0;876.0;16.0;1916.0;1040.0;30393.0;876.0;45.7;2.5
65;48012.0;51990.0;17061.0;3.05;2374533.0;18927.0;418.0;271105.0;99571.0;36.7;2482.0;405.0;360.0;1042.0;352.0;58376674.0;500.0;6728.0;1412.0;16.0;2331.0;919.0;21386.0;1412.0;60.6;36.4
66;15298.0;19085.0;6288.0;3.04;1219205.0;5164.0;71.0;42831.0;12196.0;28.5;191.0;135.0;33.0;182.0;108.0;53002150.0;115.0;1549.0;654.0;15.0;912.0;258.0;1644.0;654.0;71.7;27.1
67;5380.0;623.0;1632.0;0.38;142618.0;202.0;29.0;24119.0;3087.0;12.8;42.0;21.0;46.0;27.0;15.0;759200.0;17.0;21.0;20.0;15.0;73.0;53.0;351.0;20.0;27.4;32.4
68;1212.0;2031.0;1173.0;1.73;9003979.0;6042.0;85.0;97248.0;47229.0;48.6;38.0;64.0;21.0;119.0;36.0;1067721628.0;12.0;13.0;97.0;14.0;150.0;53.0;248.0;97.0;64.7;297.5
69;27140.0;25169.0;11884.0;2.12;1759258.0;31570.0;37.0;1507107.0;288239.0;19.1;1018.0;100.0;20.0;342.0;206.0;62543100.0;500.0;1805.0;3577.0;13.0;5080.0;1503.0;9983.0;3577.0;70.4;125.4
70;132840.0;63110.0;30651.0;2.06;988864625.0;16892.0;565.0;627703.0;214868.0;34.2;3313.0;327.0;193.0;2775.0;704.0;68870134.0;67.0;8243207.0;1242.0;11.0;2145.0;903.0;33146.0;1242.0;57.9;26.8
71;43082.0;27006.0;22593.0;1.2;3459924.0;6276.0;62.0;440499.0;76449.0;17.4;1120.0;138.0;73.0;1515.0;280.0;115537200.0;503.0;2351.0;529.0;10.0;6123.0;5594.0;27143.0;529.0;8.6;23.2
72;167276.0;47587.0;46082.0;1.03;6316444.0;19636.0;1224.0;635092.0;192512.0;30.3;2994.0;759.0;573.0;697.0;358.0;89471704.0;546.0;6152.0;404.0;8.0;1319.0;915.0;27586.0;404.0;30.6;41.3
73;391823.0;100546.0;46656.0;2.16;14061687.0;57373.0;303.0;2267008.0;1080752.0;47.7;5766.0;336.0;9.0;4043.0;2115.0;214330050.0;38.0;16246.0;4078.0;8.0;5435.0;1357.0;587088.0;4078.0;75.0;57.1
74;184934.0;82258.0;129296.0;0.64;12053812.0;36752.0;210.0;1659703.0;272309.0;16.4;4191.0;265.0;96.0;3847.0;866.0;483315250.0;504.0;8948.0;10568.0;7.0;19335.0;8767.0;209130.0;10568.0;54.7;44.7
75;338.0;189.0;238.0;0.79;26718.0;84.0;0.0;5975.0;809.0;13.5;10.0;0.0;0.0;10.0;0.0;681650.0;0.0;28.0;6.0;0.0;17.0;11.0;260.0;6.0;35.3;44.4
76;23006.0;8998.0;6895.0;1.31;1302583.0;3811.0;23.0;145277.0;27424.0;18.9;520.0;18.0;9.0;511.0;95.0;20391100.0;1.0;888.0;143.0;0.0;344.0;201.0;7542.0;143.0;41.6;42.4
77;51330.0;15749.0;13627.0;1.16;2305183.0;7239.0;165.0;262115.0;53191.0;20.3;1290.0;140.0;61.0;662.0;147.0;33466700.0;0.0;1563.0;317.0;0.0;679.0;362.0;12012.0;317.0;46.7;46.0
78;483595.0;61840.0;48143.0;1.28;8121290.0;23786.0;2514.0;905787.0;231204.0;25.5;4314.0;2903.0;302.0;1885.0;304.0;69747064.0;8.0;3349.0;1373.0;0.0;3856.0;2483.0;25690.0;1373.0;35.6;38.5
79;33510.0;93883.0;9858.0;9.52;15426692.0;34509.0;2.0;2084886.0;429027.0;20.6;826.0;0.0;1.0;226.0;56.0;12435700.0;1.0;404.0;161.0;0.0;488.0;327.0;6275.0;161.0;33.0;36.8
80;382978.0;161248.0;100389.0;1.61;23468769.0;101312.0;461.0;1807615.0;437590.0;24.2;19915.0;739.0;55.0;953.0;605.0;410913250.0;7.0;30646.0;1601.0;0.0;3325.0;1724.0;116737.0;1601.0;48.2;62.8
81;84876.0;32364.0;24884.0;1.3;4620271.0;14177.0;180.0;481291.0;107904.0;22.4;2851.0;169.0;42.0;1123.0;270.0;64236925.0;10.0;3319.0;622.0;0.0;1240.0;618.0;22243.0;622.0;50.2;43.8
82;121427.0;37498.0;36471.0;1.03;5443176.0;16400.0;283.0;695331.0;129097.0;18.6;1869.0;298.0;57.0;1724.0;505.0;111841100.0;5.0;2474.0;478.0;0.0;1179.0;701.0;38262.0;478.0;40.5;43.7
83;11234.0;4671.0;4085.0;1.14;660964.0;1987.0;11.0;98894.0;18257.0;18.5;420.0;5.0;10.0;288.0;69.0;13355150.0;0.0;612.0;94.0;0.0;227.0;133.0;4515.0;94.0;41.4;42.5
84;33598.0;11749.0;14185.0;0.83;1779500.0;6037.0;93.0;198203.0;38200.0;19.3;602.0;76.0;56.0;438.0;90.0;16165450.0;0.0;683.0;125.0;0.0;331.0;206.0;8110.0;125.0;37.8;51.4
85;857.0;849.0;594.0;1.43;109455.0;257.0;31.0;17583.0;3615.0;20.6;62.0;13.0;4.0;20.0;3.0;713450.0;0.0;51.0;21.0;0.0;57.0;36.0;253.0;21.0;36.8;30.3
86;499435.0;162535.0;125237.0;1.3;26035397.0;77846.0;1374.0;1818937.0;385972.0;21.2;16497.0;1832.0;334.0;2607.0;953.0;313519341.0;3.0;21520.0;2483.0;0.0;5300.0;2817.0;117381.0;2483.0;46.8;47.9
87;75600.0;37767.0;14318.0;2.64;5802892.0;22893.0;19.0;348786.0;94290.0;27.0;3735.0;36.0;0.0;713.0;332.0;89132994.0;0.0;14907.0;951.0;0.0;1290.0;339.0;32784.0;951.0;73.7;60.6
88;136123.0;19373.0;12601.0;1.54;2658590.0;9741.0;867.0;250278.0;64760.0;25.9;1396.0;1863.0;136.0;448.0;46.0;17072975.0;30.0;1040.0;273.0;0.0;899.0;626.0;6812.0;273.0;30.4;50.3
89;226244.0;60361.0;64827.0;0.93;8495170.0;23681.0;587.0;1204929.0;219455.0;18.2;2984.0;469.0;261.0;5523.0;906.0;189793600.0;9.0;5752.0;1196.0;0.0;3351.0;2155.0;65077.0;1196.0;35.7;39.2
90;354750.0;160690.0;129966.0;1.24;22232932.0;86840.0;628.0;1937609.0;444120.0;22.9;7112.0;1126.0;151.0;4634.0;1396.0;240717873.0;4.0;11715.0;1778.0;0.0;3956.0;2178.0;91770.0;1778.0;44.9;54.0
91;7550.0;2602.0;1779.0;1.46;388779.0;1108.0;26.0;37242.0;8054.0;21.6;224.0;34.0;4.0;78.0;36.0;4930050.0;0.0;257.0;44.0;0.0;92.0;48.0;1718.0;44.0;47.8;42.6
92;162092.0;47169.0;47055.0;1.0;7172127.0;19977.0;573.0;554399.0;129974.0;23.4;4826.0;570.0;302.0;1421.0;334.0;108985396.0;505.0;5843.0;775.0;0.0;2037.0;1262.0;37161.0;775.0;38.0;42.4
93;8127.0;1829.0;1672.0;1.09;255237.0;708.0;38.0;61262.0;8649.0;14.1;136.0;73.0;9.0;38.0;14.0;4375100.0;19.0;169.0;60.0;0.0;139.0;79.0;1667.0;60.0;43.2;38.7
94;84083.0;23820.0;21246.0;1.12;3385703.0;9082.0;404.0;385803.0;74068.0;19.2;1636.0;421.0;82.0;854.0;118.0;49123800.0;1.0;2932.0;332.0;0.0;838.0;506.0;16577.0;332.0;39.6;38.1
95;47477.0;18472.0;18609.0;0.99;2683375.0;6877.0;85.0;282059.0;65079.0;23.1;1154.0;100.0;25.0;1030.0;153.0;53087274.0;4.0;2903.0;388.0;0.0;936.0;548.0;19940.0;388.0;41.5;37.2
96;394434.0;125743.0;78036.0;1.61;17869467.0;65254.0;3414.0;1884728.0;374717.0;19.9;6581.0;5306.0;615.0;2247.0;565.0;158306025.0;507.0;10003.0;5066.0;0.0;8322.0;3256.0;67534.0;5066.0;60.9;51.9
97;168026.0;64215.0;41360.0;1.55;8886403.0;19364.0;411.0;839480.0;202580.0;24.1;7297.0;428.0;49.0;1797.0;804.0;141537248.0;6.0;7904.0;1122.0;0.0;2392.0;1270.0;48324.0;1122.0;46.9;30.2
